route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible
F16,52459-_F1646-D,5511946,Sailly Lez Lannoy Tabac,0,,1
F16,52459-_F1648-D,5511948,Sailly Lez Lannoy Tabac,0,,1
L2,52312-__L250-S,5502449,Loos Les Oliveaux,1,,1
L2,52312-__L251-S,5502479,Loos Les Oliveaux,1,,1
L2,52312-__L251-S,5502481,Loos Les Oliveaux,1,,1
L2,52312-__L251-S,5502483,Loos Les Oliveaux,1,,1
L2,52312-__L252-S,5502506,Loos Les Oliveaux,1,,1
L2,52312-__L252-S,5502514,Loos Les Oliveaux,1,,1
L2,52312-__L252-S,5502516,Loos Les Oliveaux,1,,1
L2,52312-__L252-S,5502534,Loos Les Oliveaux,1,,1
L2,52312-__L253-S,5502556,Loos Les Oliveaux,1,,1
L2,52312-__L253-S,5502560,Loos Les Oliveaux,1,,1
L2,52312-__L253-S,5502564,Loos Les Oliveaux,1,,1
L2,52312-__L253-S,5502566,Loos Les Oliveaux,1,,1
L2,52312-__L255-S,5502597,Loos Les Oliveaux,1,,1
L5,52299-__L551-S,5500203,La Madeleine Montgolfier,1,,1
L5,52299-__L553-S,5500256,La Madeleine Montgolfier,1,,1
L5,52299-__L554-S,5500277,La Madeleine Montgolfier,1,,1
L5,52299-__L558-S,5500358,La Madeleine Montgolfier,1,,1
L5,52299-__L560-S,5500386,La Madeleine Montgolfier,1,,1
L5,52299-__L562-S,5500419,La Madeleine Montgolfier,1,,1
14,53838-__1401-D,5654365,Wattignies Cimetiere,1,,1
14,53838-__1403-D,5654397,Wattignies Cimetiere,1,,1
14,53838-__1405-D,5654414,Wattignies Cimetiere,1,,1
L2,52311-__L201-D,5502373,Loos Les Oliveaux,1,,1
L2,52311-__L201-D,5502377,Loos Les Oliveaux,1,,1
L2,52311-__L201-D,5502389,Loos Les Oliveaux,1,,1
L2,52311-__L201-D,5502393,Loos Les Oliveaux,1,,1
L2,52311-__L202-D,5502408,Loos Les Oliveaux,1,,1
L2,52311-__L202-D,5502412,Loos Les Oliveaux,1,,1
L2,52311-__L202-D,5502420,Loos Les Oliveaux,1,,1
14,53837-__1404-S,5654245,Wattignies Marais,1,,1
14,53838-__1402-D,5654370,Wattignies Marais,1,,1
F2,52468-__F203-D,5512340,Quesnoy Sur Deule Quesnoy Mairie,0,,1
F2,52468-__F206-D,5512343,Quesnoy Sur Deule Quesnoy Mairie,0,,1
82,53610-__8201-LAMJV,5634349,Tourcoing Pt De Neuville,0,,1
82,53610-__8210-LAMJV,5634365,Armentieres Armentieres Gare,1,,1
82,53610-__8224-LAMJV,5634381,Tourcoing Pt De Neuville,0,,1
82,53610-__8225-LAMJV,5634384,Tourcoing Pt De Neuville,0,,1
82,53610-__8226-LAMJV,5634388,Armentieres Armentieres Gare,1,,1
82,53610-__8226-LAMJV,5634389,Tourcoing Pt De Neuville,0,,1
65,53753-__6501-LAMJV,5646348,Armentieres Armentieres Gare,0,,1
65,53753-__6503-LAMJV,5646352,Armentieres Armentieres Gare,0,,1
65,53753-__6507-LAMJV,5646360,Armentieres Armentieres Gare,0,,1
15,53808-__1503-LAMJV,5652963,Lesquin Verdun,1,,1
15,53808-__1506-LAMJV,5653005,Lesquin Verdun,1,,1
